"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U$4";"10";1;"";;;
2;"R10,R7,R9,R5,R11,R8,R4,R2,R3,R6";"0402-TIGHT";10;"2.2k";;;
3;"U1";"SOT403-1";1;"PCA9846";;;
4;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
5;"PORT1,PORT0,PORT3,OUT0,PORT2,IN0";"JST04_1MM_RA";6;"QWIIC_RIGHT_ANGLE";;;
6;"H3,H4,H2,H1";"STAND-OFF";4;"STAND-OFF";;;
7;"U$3";"043215";1;"";;;
8;"D1";"LED-0603";1;"RED";;;
9;"C4,C1,C3";"0402-TIGHT";3;"2.2uF";;;
10;"R1,R13";"0402-TIGHT";2;"100k";;;
11;"C2";"0402-TIGHT";1;"0.1uF";;;
12;"J7";"1X02_NO_SILK";1;"";;;
13;"LOGO1";"ORDERING_INSTRUCTIONS";1;"SPECIAL_INSTRUCTIONS-ORDERING";;;
14;"J1";"1X04_NO_SILK";1;"";;;
15;"R12";"0402-TIGHT";1;"1k";;;
16;"FD2,FD1,FD4,FD3";"FIDUCIAL-1X2";4;"FIDUCIAL1X2";;;
17;"U$2";"PWR43214";1;"";;;
18;"LOGO4";"OSHW-LOGO-MINI";1;"OSHW-LOGOMINI";;;
19;"U$6";"3212";1;"";;;
20;"U$5";"211";1;"";;;
21;"U$17";"#A4#4";1;"";;;
22;"U$14";"#A1#1";1;"";;;
23;"U$11";"#3#9";1;"";;;
24;"U$16";"#A3#3";1;"";;;
25;"JP2,I2C0,JP0,JP1,JP3";"SMT-JUMPER_3_2-NC_TRACE_SILK";5;"JUMPER-SMT_3_2-NC_TRACE_SILK";;;
26;"U$1";"SPARKX-SMALL";1;"SPARKX-LOGO3";;;
27;"U$9";"#1#9";1;"";;;
28;"U$10";"#2#9";1;"";;;
29;"ADDR3,ADDR4,ADDR2,ADDR1";"SMT-JUMPER_2_NO_SILK";4;"JUMPER-SMT_2_NO_SILK";;;
30;"U$12";"#3V3#7";1;"";;;
31;"ADDR0,LED0";"SMT-JUMPER_2_NC_TRACE_SILK";2;"JUMPER-SMT_2_NC_TRACE_SILK";;;
32;"U$18,U$19";"#GND#7";2;"";;;
33;"U$24";"QWIIC_MUX_PCA98461";1;"";;;
34;"U$23";"#LED#0";1;"";;;
35;"U$22";"#SDA#6";1;"";;;
36;"U$21";"#SCL#5";1;"";;;
37;"U$7";"##RST##8";1;"";;;
38;"U$13";"#A0#0";1;"";;;
39;"U$8";"#0#9";1;"";;;
40;"U$25";"#I�C#0";1;"";;;
41;"U$15";"#A2#2";1;"";;;
